metric,B_low,B,B_high
avg_price_eur_mwh,75.01374362523991,71.51342833492596,66.56952192466504
median_price_eur_mwh,104.21153846153845,90.8521151860465,90.85000000000001
price_std_eur_mwh,55.09778314348511,52.28680691735985,48.18693929102554
load_weighted_price_eur_mwh,76.54942957183212,72.92373888274355,67.7878445396606
scarcity_hours,0.0,0.0,0.0
unserved_energy_mwh,0.0,0.0,0.0
ccgt_capacity_factor,0.5651109044290805,0.5213343158737442,0.4380092457891788
ccgt_full_load_hours,4950.371522798745,4566.888607053999,3836.9609931132063
ccgt_new_gen_twh,26.170456858735353,49.294368460588586,85.5431611401582
ccgt_new_full_load_hours,5234.09137174707,4929.436846058859,4277.15805700791
ocgt_capacity_factor,0.06677198752064972,0.03476117401656413,0.005476244502234452
ocgt_full_load_hours,584.9226106808916,304.50788438510176,47.9719018395738
curtailment_twh,46.42897293633127,46.42897293633127,46.42897293633127
curtailment_pct,10.857537037175943,10.857537037175943,10.857537037175943
renewable_share_pct,71.34712949761247,71.28621236072325,71.27876074376874
total_system_cost_meur,21064.435030553956,20870.827188729436,20854.09485258452
total_system_cost_excl_voll_meur,21064.435030553956,20870.827188729436,20854.09485258452
net_import_twh,0.6869784429679296,0.18602309581863402,0.0
co2_emissions_mt,79.44778548465996,73.49384173646726,64.8275054491844
total_generation_twh,603.7549441304476,604.2708787180931,604.3340503428237
consumer_energy_cost_meur,45929.65774309928,43754.24332964613,40672.70672379636
