metric,A_with_imports,A_islanded,B_with_imports,B_islanded
avg_price_eur_mwh,78.67221745613367,208.24872414769115,71.51342833492596,96.80756736400551
price_std_eur_mwh,58.11897429434157,697.9095352627476,52.28680691735985,322.8160578476526
scarcity_hours,0.0,121.0,0.0,13.0
unserved_energy_mwh,0.0,1431948.8263729904,0.0,96861.23766668298
co2_emissions_mt,85.96867979649868,86.33089185556335,73.49384173646726,73.55648967364245
total_system_cost_meur,21409.075656075634,26885.52574779079,20870.827188729436,21241.332199565284
