case,scenario,technology,capacity_mw,energy_revenue_meur,operating_cost_meur,market_margin_meur,annualised_fixed_cost_meur,missing_money_meur,missing_money_eur_per_kw_yr
with_imports,B,ccgt_new,10000.0,5508.519289826746,4478.393374644474,1030.125915182272,785.4629157224892,0.0,0.0
with_imports,B,ocgt,14000.0,616.1528190794224,568.1660360799419,47.98678299948049,490.0,442.0132170005195,31.57237264289425
with_imports,A,ocgt,14000.0,2018.15228909567,1759.162692076455,258.9895970192151,490.0,231.0104029807849,16.500743070056064
islanded,B,ccgt_new,10000.0,7724.285868774114,4478.393374644474,3245.8924941296395,785.4629157224892,0.0,0.0
islanded,B,ocgt,14000.0,3718.226029605738,568.1660360799419,3150.059993525796,490.0,0.0,0.0
islanded,A,ocgt,14000.0,17909.415069748287,1759.162692076455,16150.252377671834,490.0,0.0,0.0
