metric,A_value,B_value,delta_abs,delta_pct
avg_price_eur_mwh,78.67221745613367,71.51342833492596,-7.158789121207704,-9.099513592837683
median_price_eur_mwh,104.21153846153845,90.8521151860465,-13.359423275491949,-12.819524087942082
price_std_eur_mwh,58.11897429434157,52.28680691735985,-5.832167376981722,-10.03487664363261
load_weighted_price_eur_mwh,80.34505954075374,72.92373888274355,-7.421320658010188,-9.236810203925286
scarcity_hours,0.0,0.0,0.0,
unserved_energy_mwh,0.0,0.0,0.0,
ccgt_capacity_factor,0.6122023004499356,0.5213343158737442,-0.09086798457619139,-14.842803515995993
ccgt_full_load_hours,5362.892151941436,4566.888607053999,-796.0035448874369,-14.842803515995998
ccgt_new_gen_twh,0.0,49.294368460588586,49.294368460588586,
ccgt_new_full_load_hours,0.0,4929.436846058859,4929.436846058859,
ocgt_capacity_factor,0.10762797594278069,0.03476117401656413,-0.07286680192621656,-67.7024735324907
ocgt_full_load_hours,942.8210692587588,304.50788438510176,-638.3131848736571,-67.70247353249071
curtailment_twh,46.42897293633127,46.42897293633127,0.0,0.0
curtailment_pct,10.857537037175943,10.857537037175943,0.0,0.0
renewable_share_pct,71.49572191937582,71.28621236072325,-0.20950955865257015,-0.29303789517480433
total_system_cost_meur,21409.075656075634,20870.827188729436,-538.2484673461986,-2.5141135282664586
total_system_cost_excl_voll_meur,21409.075656075634,20870.827188729436,-538.2484673461986,-2.5141135282664586
net_import_twh,1.9277783184090926,0.18602309581863402,-1.7417552225904587,-90.35038966658
co2_emissions_mt,85.96867979649868,73.49384173646726,-12.474838060031416,-14.510910356610466
total_generation_twh,602.5001360539433,604.2708787180931,1.7707426641497932,0.2938991310022301
consumer_energy_cost_meur,48207.03572445224,43754.24332964613,-4452.792394806107,-9.236810203925275
