hour,model_price_eur_mwh,actual_price_eur_mwh
0,84.35263157894737,1.6
1,0.5,0.0
2,0.5,-0.01
3,0.5,-0.01
4,0.5,-0.06
5,-0.031135335252982323,-0.09
6,-0.031135335252982323,-0.01
7,-0.031135335252982323,-0.01
8,-0.031135335252982323,-0.04
9,-0.031135335252982323,-0.03
10,-0.031135335252982323,-0.1
11,-0.031135335252982323,-0.05
12,-0.031135335252982323,-0.1
13,-0.031135335252982323,-1.01
14,-0.031135335252982323,-0.01
15,-0.031135335252982323,-0.01
16,-0.031135335252982323,0.07
17,-0.031135335252982323,1.01
18,-0.031135335252982323,1.48
19,-0.031135335252982323,1.0
20,-0.031135335252982323,0.07
21,-0.031135335252982323,10.05
22,-0.031135335252982323,7.01
23,-0.031135335252982323,2.55
24,-0.031135335252982323,1.56
25,-0.031135335252982323,3.45
26,-0.031135335252982323,7.02
27,-0.031135335252982323,12.75
28,0.5,30.07
29,84.35263157894737,67.13
30,93.77441860465117,98.83
31,93.77441860465117,121.53
32,93.77441860465117,127.23
33,100.29807692307692,126.35
34,100.29807692307692,119.97
35,100.29807692307692,115.95
36,100.29807692307692,113.9
37,100.29807692307692,122.21
38,100.29807692307692,130.11
39,100.29807692307692,138.59
40,100.29807692307692,152.87
41,100.29807692307692,152.94
42,100.29807692307692,139.15
43,93.77441860465117,130.0
44,93.77441860465117,119.78
45,93.77441860465117,113.42
46,93.77441860465117,82.47
47,93.77441860465117,99.56
48,84.35263157894737,87.53
49,84.35263157894737,85.01
50,84.35263157894737,83.79
51,84.35263157894737,77.5
52,84.35263157894737,79.88
53,84.35263157894737,83.56
54,93.77441860465117,78.43
55,93.77441860465117,82.57
56,93.77441860465117,80.76
57,93.77441860465117,77.64
58,86.41328818604651,70.48
59,86.41328818604651,69.94
60,86.41328818604651,77.8
61,93.77441860465117,78.81
62,93.77441860465117,85.29
63,93.77441860465117,105.51
64,93.77441860465117,116.66
65,93.77441860465117,115.06
66,93.77441860465117,114.91
67,93.77441860465117,113.3
68,93.77441860465117,107.8
69,93.77441860465117,98.22
70,93.77441860465117,88.57
71,93.77441860465117,90.43
72,93.77441860465117,90.29
73,93.77441860465117,90.2
74,93.77441860465117,91.52
75,93.77441860465117,95.95
76,93.77441860465117,102.11
77,93.77441860465117,110.66
78,100.29807692307692,119.96
79,100.29807692307692,128.39
80,100.29807692307692,130.75
81,100.29807692307692,130.34
82,100.29807692307692,128.29
83,100.29807692307692,130.03
84,100.29807692307692,129.85
85,100.29807692307692,136.4
86,100.29807692307692,138.72
87,100.29807692307692,142.0
88,100.29807692307692,151.24
89,100.29807692307692,143.85
90,100.29807692307692,137.96
91,100.29807692307692,129.49
92,100.29807692307692,122.83
93,100.29807692307692,118.29
94,100.29807692307692,109.49
95,100.29807692307692,113.84
96,93.77441860465117,100.33
97,93.77441860465117,93.61
98,93.77441860465117,93.87
99,93.77441860465117,89.38
100,93.77441860465117,83.55
101,93.77441860465117,83.92
102,93.77441860465117,82.53
103,93.77441860465117,84.05
104,93.77441860465117,89.15
